"NDC","YEAR","MONTH"
"0220-9321-04",2013,10
"0220-9322-04",1997,9
"0220-9324-04",1997,9
"0220-9325-04",2017,5
"0220-9332-04",1997,7
"0220-9341-04",2011,4
"0220-9342-04",1997,9
"0220-9343-41",2008,9
"0220-9346-42",2011,12
"0220-9352-01",1987,2
"0220-9356-43",2017,3
"0220-9374-62",1992,7
"0220-9375-62",2016,9
"0259-1102-02",2012,3
"0259-1102-30",2012,3
"0259-3192-05",2007,12
"0259-3192-20",2007,12
"0259-3192-50",2007,12
"0264-1943-20",2012,4
"0268-0650-10",1965,1
"0268-0650-50",1965,1
"0268-0723-10",1965,1
"0268-0723-50",1998,2
"0268-0725-10",1965,1
"0268-0970-10",1965,1
"0268-1530-10",1965,1
"0268-1530-50",1965,1
"0268-6102-10",1998,2
"0268-6103-10",1998,2
"0268-6106-10",1998,2
"0268-6107-06",1965,1
"0268-6107-10",1998,2
"0268-6108-10",1998,2
"0268-6110-10",1998,2
"0268-6112-10",1998,2
"0268-6113-10",1998,2
"0268-6114-10",1998,2
"0268-6116-10",1998,2
"0268-6120-10",1998,2
"0268-6121-10",1998,2
"0268-6123-10",1998,2
"0268-6124-10",1998,2
"0268-6127-10",1998,2
"0268-6128-10",1998,2
"0268-6129-10",1998,2
"0268-6132-10",1998,2
"0268-6133-10",1998,2
"0268-6137-10",1998,2
"0268-6138-10",1998,2
"0268-6139-10",1998,2
"0268-6146-10",1998,2
"0268-6149-10",1998,2
"0268-6170-10",1998,2
"0268-6171-10",1998,2
"0268-6173-10",1998,2
"0268-6174-10",1998,2
"0268-6177-10",1998,2
"0268-6178-10",1998,2
"0268-6180-10",1998,2
"0268-6181-10",1998,2
"0268-6185-10",1998,2
"0268-6186-10",1998,2
"0268-6189-10",1998,2
"0268-6191-10",1998,2
"0268-6192-10",1998,2
"0268-6195-10",1998,2
"0268-6197-10",1998,2
"0268-6198-10",1998,2
"0268-6200-10",1998,2
"0268-6203-10",1998,2
"0268-6205-10",1998,2
"0268-6206-10",1998,2
"0268-6210-10",1998,2
"0268-6212-10",1998,2
"0268-6218-10",1998,2
"0268-6219-10",1998,2
"0268-6226-10",1998,2
"0268-6229-10",1998,2
"0268-6230-10",1998,2
"0268-6231-10",1998,2
"0268-6233-10",1998,2
"0268-6234-10",1998,2
"0268-6235-10",1998,2
"0268-6520-06",1965,1
"0268-6524-06",1965,1
"0268-6533-06",1965,1
"0268-6540-06",1965,1
"0268-6559-06",1965,1
"0268-8000-10",1998,2
"0268-8000-50",1998,2
"0268-8001-30",1975,1
"0268-8002-10",1998,2
"0268-8002-50",1998,2
"0268-8003-50",1965,1
"0268-8004-10",1975,1
"0268-8004-30",1975,1
"0268-8005-05",1975,1
"0268-8006-05",1975,1
"0268-8007-05",1975,1
"0268-8008-10",1975,1
"0268-8008-30",1975,1
"0268-8009-10",1975,1
"0268-8009-30",1975,1
"0268-8010-05",1975,1
"0268-8011-30",1975,1
"0268-8012-30",1975,1
"0268-8013-10",1975,1
"0268-8013-30",1975,1
"0268-8014-10",1975,1
"0268-8014-30",1975,1
"0268-8015-30",1975,1
"0268-8016-30",1975,1
"0268-8017-30",1975,1
"0268-8020-50",1965,1
"0268-8021-50",1965,1
"0268-8022-50",1998,2
"0268-8023-30",1975,1
"0268-8025-10",1965,1
"0268-8026-06",1997,12
"0268-8027-50",1997,12
"0268-8034-10",1965,1
"0268-8034-50",1965,1
"0268-8035-50",1965,1
"0268-8036-10",1998,2
"0268-8037-50",1998,2
"0268-8039-50",1965,1
"0268-8041-10",1965,1
"0268-8041-50",1965,1
"0268-8042-10",1998,2
"0268-8042-50",1998,2
"0268-8045-06",1998,2
"0268-8046-10",1965,1
"0268-8046-50",1965,1
"0268-8047-10",1965,1
"0268-8047-50",1965,1
"0268-8048-50",1965,1
"0268-8049-10",1998,2
"0268-8050-50",1998,2
"0268-8061-06",1998,2
"0268-8062-10",1998,2
"0268-8063-50",1998,2
"0268-8064-10",1965,1
"0268-8064-50",1965,1
"0268-8065-50",1965,1
"0268-8066-50",1998,2
"0268-8067-06",1998,2
"0268-8068-10",1965,1
"0268-8068-50",1965,1
"0268-8069-50",1965,1
"0268-8070-10",1998,2
"0268-8070-50",1998,2
"0268-8073-06",1997,12
"0268-8073-10",1997,12
"0268-8073-50",1997,12
"0268-8074-06",1997,12
"0268-8074-10",1997,12
"0268-8074-50",1997,12
"0268-8076-06",1997,12
"0268-8076-10",1997,12
"0268-8076-50",1997,12
"0268-8077-50",1997,12
"0268-8078-50",1998,2
"0268-8079-30",1975,1
"0270-0083-20",1987,1
