"RXCUI","NDC","YEAR","MONTH"
210295,"0067-0117-48",2012,1
210295,"0067-0117-49",2012,1
210295,"0067-0129-18",2012,12
210295,"0067-0129-27",2012,12
210295,"0067-0129-48",2012,12
210299,"0067-0134-72",2017,5
692869,"0067-2067-08",2011,11
692869,"0067-2067-16",2011,11
692869,"0067-2067-35",2011,11
860055,"0067-6274-18",2007,9
860055,"0067-6274-50",2007,9
210299,"0067-6275-01",2017,8
210299,"0067-6275-10",2011,9
210299,"0067-6275-20",2011,9
210299,"0067-6275-30",2011,9
210299,"0067-6275-50",2011,9
210299,"0067-6275-72",2011,9
210299,"0067-6275-82",2011,9
1489225,"0067-7918-06",2014,7
1489225,"0067-7918-12",2014,7
2105860,"0069-0298-60",2018,12
2047602,"0069-1305-10",2018,6
2047608,"0069-1306-10",2018,6
2047614,"0069-1307-10",2018,6
2047596,"0069-1308-10",2018,6
2047623,"0069-1309-04",2018,6
2047623,"0069-1309-10",2018,6
2105856,"0069-1531-30",2018,12
2049858,"0074-0038-01",2018,7
2049858,"0074-0038-07",2018,7
2049858,"0074-0038-28",2018,7
2049862,"0074-0039-01",2018,7
2049862,"0074-0039-14",2018,7
2049862,"0074-0039-56",2018,7
861715,"0074-1040-04",1991,7
861715,"0074-1040-08",1991,7
352315,"0074-3826-11",2000,8
1099565,"0074-3826-13",2000,8
198345,"0074-5681-13",1978,2
208721,"0074-5682-16",1978,2
205500,"0074-6114-13",1989,9
205502,"0074-6212-13",1983,3
205503,"0074-6214-13",1983,3
205503,"0074-6214-53",1983,3
205504,"0074-6215-13",1983,3
205504,"0074-6215-53",1983,3
285022,"0074-7126-11",2000,8
285022,"0074-7126-13",2000,8
285022,"0074-7126-53",2000,8
845519,"0078-0566-51",2009,3
845521,"0078-0567-51",2009,3
1721308,"0078-0662-06",2015,10
1721308,"0078-0662-19",2015,10
1986447,"0078-0846-19",2017,8
2044975,"0078-0958-19",2018,5
1298099,"0085-0492-01",1939,10
616815,"0085-1341-05",2005,3
285004,"0093-1122-01",2001,2
905100,"0093-3098-29",2015,6
905092,"0093-3098-44",2015,6
905041,"0093-3099-56",2015,6
905032,"0093-3100-56",2015,6
349590,"0093-4145-56",2019,1
349590,"0093-4145-64",2013,4
311286,"0093-4146-56",2019,1
311286,"0093-4146-64",2013,4
242754,"0093-4147-56",2014,12
242754,"0093-4148-56",2019,1
242754,"0093-4148-64",2013,4
577208,"0093-5401-89",2014,4
310246,"0093-7172-01",2000,8
199058,"0093-7334-01",2009,5
199058,"0093-7334-05",2009,5
309963,"0093-7439-01",2008,7
309964,"0093-7440-01",2008,7
309964,"0093-7440-05",2008,7
309965,"0093-7441-01",2008,7
309965,"0093-7441-05",2008,7
200060,"0093-7477-01",2009,5
200060,"0093-7477-05",2009,5
905028,"0093-7771-13",2016,11
905028,"0093-7771-79",2016,12
1244204,"0095-0073-75",2012,1
213528,"0095-0201-10",2009,6
206322,"0096-0732-04",1995,1
210490,"0096-0736-08",1996,6
309381,"0096-0737-04",1995,6
210490,"0096-0737-08",1996,6
672809,"0113-0096-91",2011,1
283219,"0113-0101-62",2016,6
283219,"0113-0173-24",2008,11
283219,"0113-0173-62",2008,11
307694,"0113-0217-71",2006,2
308762,"0113-0302-34",1989,9
308762,"0113-0302-40",1990,4
308762,"0113-0302-43",1992,6
210614,"0113-0304-10",1989,9
880407,"0113-0306-01",2009,10
880407,"0113-0306-02",2009,10
880407,"0113-0306-03",2009,10
