"NDC","YEAR","MONTH"
"0006-4963-00",2006,5
"0006-4963-41",2006,5
"0006-4981-00",1986,7
"0006-4992-00",1986,7
"0006-4995-00",1986,7
"0006-4995-41",1986,7
"0006-4999-00",2005,9
"0006-5003-01",2017,11
"0006-5004-01",2017,11
"0006-5363-03",2017,12
"0006-5363-06",2017,12
"0006-5363-07",2017,12
"0006-5363-09",2017,12
"0006-5363-10",2017,12
"0006-5364-03",2017,12
"0006-5364-06",2017,12
"0006-5364-07",2017,12
"0006-5364-09",2017,12
"0006-5367-03",2017,12
"0006-5367-06",2017,12
"0006-5367-07",2017,12
"0006-5367-09",2017,12
"0006-5368-03",2017,12
"0006-5368-06",2017,12
"0006-5368-07",2017,12
"0006-5368-09",2017,12
"0006-5369-03",2017,12
"0006-5369-06",2017,12
"0006-5369-07",2017,12
"0006-5370-03",2017,12
"0006-5370-06",2017,12
"0006-5370-07",2017,12
"0006-5373-03",2017,12
"0006-5373-06",2017,12
"0006-5373-07",2017,12
"0006-5373-09",2017,12
"0006-5374-03",2017,12
"0006-5374-06",2017,12
"0006-5374-07",2017,12
"0006-5374-09",2017,12
"0006-5420-02",2014,4
"0006-5420-30",2014,4
"0006-5420-54",2014,4
"0006-5423-12",2015,12
"0006-5423-15",2015,12
"0006-5425-15",2017,6
"0006-9117-31",1998,2
"0006-9117-54",1998,2
"0006-9275-31",1998,2
"0007-3370-13",2007,2
"0007-3371-13",2007,2
"0007-3372-13",2007,2
"0007-3373-13",2007,2
"0007-3373-61",2007,2
"0007-3650-22",1994,3
"0007-3650-30",1994,3
"0007-4139-20",1997,6
"0007-4140-20",1997,6
"0007-4141-20",1997,6
"0007-4142-20",1997,6
"0007-4201-01",1996,6
"0007-4401-06",2006,1
"0007-4407-01",2000,11
"0007-4640-13",2008,11
"0007-4641-13",2008,11
"0007-4641-61",2008,11
"0007-4642-13",2009,1
"0007-4643-13",2012,1
"0007-4882-13",2008,11
"0007-4885-13",2008,6
"0007-4887-13",2008,6
"0007-4888-13",2008,6
"0007-4890-20",1997,10
"0007-4891-20",1997,10
"0007-4892-20",1997,10
"0007-4893-20",1997,10
"0007-4894-20",1997,10
"0007-4895-20",2001,6
"0007-4896-20",1999,9
"0008-0045-01",2008,2
"0008-0045-02",2008,2
"0008-0100-01",2017,8
"0008-0423-03",2016,10
"0008-0833-03",1997,11
"0008-0833-20",1997,11
"0008-0833-21",1997,11
"0008-0833-22",1997,11
"0008-0836-03",1997,11
"0008-0836-20",1997,11
"0008-0836-21",1997,11
"0008-0836-22",1997,11
"0008-0837-03",1997,11
"0008-0837-20",1997,11
"0008-0837-21",1997,11
"0008-0837-22",1997,11
"0008-0841-81",2000,5
"0008-0843-81",2000,5
"0008-0844-02",2008,2
"0008-0923-51",2001,5
"0008-0923-55",2001,5
"0008-0923-60",2001,5
"0008-0941-02",2001,5
"0008-0941-03",2001,5
"0008-1030-06",1999,9
"0008-1040-05",2010,3
"0008-1040-10",2010,3
"0008-1041-05",2001,7
"0008-1041-10",2001,7
"0008-1042-05",2001,7
"0008-1123-12",2013,10
"0008-1179-01",2007,7
"0008-1210-30",2015,4
"0008-1211-70",2008,5
"0008-4001-10",2013,5
"0008-4001-25",2013,5
"0008-4117-01",2004,11
"0008-4990-02",2005,6
"0008-4990-20",2005,6
"0008-4994-02",2017,2
"0008-4994-20",2017,2
"0009-0003-02",1959,4
"0009-0005-01",1955,4
"0009-0011-04",1955,4
"0009-0012-01",1952,12
"0009-0013-05",1955,4
"0009-0013-06",1955,4
"0009-0016-12",1955,4
"0009-0017-02",1982,11
"0009-0017-55",1982,11
"0009-0017-58",1982,11
"0009-0018-20",1959,4
"0009-0020-01",2013,9
"0009-0022-01",1957,10
"0009-0029-01",1981,10
"0009-0029-02",1981,10
"0009-0029-14",1981,10
"0009-0029-46",1981,10
"0009-0031-01",1952,12
"0009-0039-28",1959,4
"0009-0039-32",1959,4
"0009-0044-01",1952,12
"0009-0047-22",1959,4
"0009-0047-26",1959,4
"0009-0050-02",1959,6
"0009-0050-11",1959,6
"0009-0055-01",1981,10
"0009-0055-03",1981,10
"0009-0055-15",1981,10
"0009-0055-46",1981,10
"0009-0056-02",1957,10
"0009-0056-03",1957,10
"0009-0056-04",1957,10
"0009-0056-05",1957,10
